Horizon,Metric,Model,Median,IQR
tau_1,rmse,CatBoost,0.0001330241067646,0.00026457187251963517
tau_1,rmse,LightGBM,0.0006633648238307,0.0014068901096535
tau_1,rmse,Random Forest,0.0001615137333333,0.00025573625000000096
tau_1,rmse,GBM,7.529960960667203e-05,0.00014980241790627123
tau_1,rmse,XGBoost,0.0001116697685989,0.0002529876393110263
tau_1,mae,CatBoost,0.0001330241067646,0.00026457187251963517
tau_1,mae,LightGBM,0.0006633648238307,0.0014068901096535
tau_1,mae,Random Forest,0.0001615137333333,0.00025573625000000096
tau_1,mae,GBM,7.529960960667203e-05,0.00014980241790627123
tau_1,mae,XGBoost,0.0001116697685989,0.0002529876393110263
tau_1,mad,CatBoost,0.0001330241067646,0.00026457187251963517
tau_1,mad,LightGBM,0.0006633648238307,0.0014068901096535
tau_1,mad,Random Forest,0.0001615137333333,0.00025573625000000096
tau_1,mad,GBM,7.529960960667203e-05,0.00014980241790627123
tau_1,mad,XGBoost,0.0001116697685989,0.0002529876393110263
tau_1,r_sq,CatBoost,0.992232360877562,0.033822819654023006
tau_1,r_sq,LightGBM,0.8387649017477505,0.4295075322274927
tau_1,r_sq,Random Forest,0.9924215807747588,0.02784079359123648
tau_1,r_sq,GBM,0.9979041445994188,0.01615434568189056
tau_1,r_sq,XGBoost,0.9943257565469216,0.024949800919202736
tau_3,rmse,CatBoost,0.0002464207315637,0.0003566170108229
tau_3,rmse,LightGBM,0.0011876968150798,0.0015708448159412998
tau_3,rmse,Random Forest,0.0002071081841929,0.0003948615309205
tau_3,rmse,GBM,0.0001332483638751,0.0002198974409653642
tau_3,rmse,XGBoost,0.0002296427497358,0.0005968398815819
tau_3,mae,CatBoost,0.0002107423217436,0.0002727227630204
tau_3,mae,LightGBM,0.0010174358387885,0.0014610627416808
tau_3,mae,Random Forest,0.0001703296944444,0.0002631401066667
tau_3,mae,GBM,0.0001085747681818,0.00016935278435623152
tau_3,mae,XGBoost,0.0001933939798999,0.0005433207601108
tau_3,mad,CatBoost,0.0002107423217436,0.0002727227630204
tau_3,mad,LightGBM,0.0010174358387885,0.0014610627416808
tau_3,mad,Random Forest,0.0001703296944444,0.0002631401066667
tau_3,mad,GBM,0.0001085747681818,0.00016935278435623152
tau_3,mad,XGBoost,0.0001933939798999,0.0005433207601108
tau_3,r_sq,CatBoost,0.9915222986958252,0.018309416067860185
tau_3,r_sq,LightGBM,0.8207166748927788,0.3040865037147701
tau_3,r_sq,Random Forest,0.991960238924607,0.018511905319453237
tau_3,r_sq,GBM,0.9971125664389788,0.009323601658428604
tau_3,r_sq,XGBoost,0.9905506378015996,0.04315536145518639
tau_6,rmse,CatBoost,0.0003302498622074,0.00035645086236139997
tau_6,rmse,LightGBM,0.0011834668423994,0.0011655769726167
tau_6,rmse,Random Forest,0.0003139268661846,0.0004389059719557
tau_6,rmse,GBM,0.0001652940699537,0.0003674318849195
tau_6,rmse,XGBoost,0.0002556783273508,0.0007835757849909999
tau_6,mae,CatBoost,0.0002585326704342,0.00025728366818639995
tau_6,mae,LightGBM,0.0010264704523331,0.0008949369873307
tau_6,mae,Random Forest,0.0002522868444444,0.00022993714444439998
tau_6,mae,GBM,0.000122616422842,0.00015760167358491983
tau_6,mae,XGBoost,0.0002159449135059,0.00035380897217059993
tau_6,mad,CatBoost,0.0002585326704342,0.00025728366818639995
tau_6,mad,LightGBM,0.0010264704523331,0.0008949369873307
tau_6,mad,Random Forest,0.0002522868444444,0.00022993714444439998
tau_6,mad,GBM,0.000122616422842,0.00015760167358491983
tau_6,mad,XGBoost,0.0002159449135059,0.00035380897217059993
tau_6,r_sq,CatBoost,0.9847594920295134,0.023647063881604646
tau_6,r_sq,LightGBM,0.803648806989728,0.2590038209069112
tau_6,r_sq,Random Forest,0.9869206955166802,0.025472587522250012
tau_6,r_sq,GBM,0.99659811209232,0.016314923987224117
tau_6,r_sq,XGBoost,0.9898091199154152,0.05363495427009657
tau_9,rmse,CatBoost,0.0004254393760467,0.0004193544275029
tau_9,rmse,LightGBM,0.0012589013484132,0.0012391487813612002
tau_9,rmse,Random Forest,0.000413020717642,0.0004369404200323
tau_9,rmse,GBM,0.000358034447123,0.0004458225306908
tau_9,rmse,XGBoost,0.000347062811522,0.0007319114936446
tau_9,mae,CatBoost,0.0002975884543171,0.000301750123189
tau_9,mae,LightGBM,0.0009683433252203,0.0007884603662228999
tau_9,mae,Random Forest,0.0002741140025925,0.000254545817037
tau_9,mae,GBM,0.0001719580446711,0.00023329152304961116
tau_9,mae,XGBoost,0.000282380432873,0.00035914191112939995
tau_9,mad,CatBoost,0.0002975884543171,0.000301750123189
tau_9,mad,LightGBM,0.0009683433252203,0.0007884603662228999
tau_9,mad,Random Forest,0.0002741140025925,0.000254545817037
tau_9,mad,GBM,0.0001719580446711,0.00023329152304961116
tau_9,mad,XGBoost,0.000282380432873,0.00035914191112939995
tau_9,r_sq,CatBoost,0.9796429488658104,0.03755338915813078
tau_9,r_sq,LightGBM,0.7835192876104122,0.23827866211137994
tau_9,r_sq,Random Forest,0.9794630422892988,0.04395792317556935
tau_9,r_sq,GBM,0.9895149858638328,0.03004609678705883
tau_9,r_sq,XGBoost,0.9822993220523784,0.0658664889932612
